model,t1_absolute_error_mean,t1_absolute_error_std,t1_absolute_error_median,t1_direction_correct_mean,t2_legal_mean,t2_cpl_mean,t2_cpl_std,t2_cpl_median,t3_p1_side_correct_mean,t3_p2_theme_correct_mean,t3_score_mean,t3_score_std,job_id_count,inference_ms_mean,inference_ms_median,t1_relative_error_mean,t1_abs_error_excl_mate_mean,t1_abs_error_excl_mate_median,t2_cpl_clamped_mean,t2_cpl_clamped_median,t2_wp_loss_mean,t2_wp_loss_median,t3_p2_theme_correct_v2_mean,t3_score_v2_mean
llama3.1:8b,863.1296355601102,2490.544441485671,70.0,0.4535963620060206,0.6647078436275735,5194.150981252743,5339.829388655812,3198.0,0.23418002153670742,0.10115918160511814,0.3353392031418255,0.5252230561829702,23994,1318.8750520963574,1068.0,1.9216654687335046,201.278247132358,63.0,724.3377014232867,980.0,319.28070386424577,412.89371803190176,0.13257743713181733,0.3667574586685247
llama3.2:3b,979.2570175438597,2476.259055397387,88.0,0.4241854636591479,0.656390977443609,4448.137902507318,5086.444541783089,2033.0,0.23640350877192984,0.12550125313283209,0.3619047619047619,0.548405003464532,23940,514.2987050960735,473.0,3.112272071539997,330.2346856528748,79.0,689.9050528191422,961.0,306.33228268995526,405.0319379216452,0.18928571428571428,0.4256892230576441
llama3.3:70b,884.698259671967,2441.1258980766484,193.0,0.34305746838612744,0.664454738950795,5050.852144965768,5460.9860276641975,2783.0,0.32984784922672344,0.20693757435351576,0.5367854235802392,0.6662608192378645,23961,24989.41459037603,27265.0,2.227088231319883,233.8585716203517,181.0,712.6355756547955,974.0,315.10902854918396,411.0198337965131,0.2724312816980778,0.6022791309248012
mistral:7b,740.1261875,2486.7165884909627,57.0,0.4801875,0.623375,4307.040037430653,5010.086845441402,1899.0,0.2925625,0.056,0.3485625,0.5147409479378606,24000,1043.4707083333333,969.0,0.7358199361392186,72.88903779147681,51.0,690.7948666532985,954.0,307.25084306412873,404.1524798231747,0.2859375,0.5785
mixtral:8x7b,748.0431056213763,2489.3460108053187,64.0,0.471325938996723,0.601706256273001,4796.574367528496,5212.112416161361,2301.0,0.38483781745033946,0.08630877545888861,0.47114659290922806,0.5695350467655766,23912,14366.83644195383,10488.5,0.7815598921641914,77.74232797079897,58.0,697.4979844314706,966.0,308.9259096524782,407.897538916684,0.1760120693990445,0.560849886849384
phi4:14b,848.5260582178721,2468.350991291346,114.0,0.40720732172365576,0.634625,4900.5104720635545,5272.247040900207,2630.0,0.28525,0.1216875,0.4069375,0.5695258058872078,24000,5202.359708333333,5509.5,1.7907129174424834,187.19901820413173,105.0,714.745387696146,975.0,315.7822432005287,412.24607058472054,0.308,0.59325
qwen2.5:14b,778.3090147536884,2476.3905179909493,61.0,0.4763690922730683,0.665124614486955,4807.706497900871,5115.7498374138295,2412.0,0.324143535883971,0.09521130282570643,0.41935483870967744,0.571325203166635,23994,1554.351129449029,1427.0,1.1248845262754528,114.9896782841823,55.0,705.9883451344069,970.0,312.3693335692674,409.94786105439016,0.19442360590147537,0.5185671417854464
qwen2.5:32b,793.2070625,2471.407514910603,90.0,0.40925,0.6662916666666666,5102.290100681634,5322.495743155774,2979.0,0.265125,0.12075,0.385875,0.5495401341325654,24000,11631.54825,12844.0,1.273564067799021,131.05192977753953,82.0,724.5346132199362,980.0,319.68825433744826,413.51841897379285,0.237375,0.5025
qwen2.5:7b,749.996624156039,2482.94967399205,59.0,0.489247311827957,0.6554972076352421,4692.010618006104,5100.027296166755,2324.0,0.2777569392348087,0.028507126781695424,0.30626406601650413,0.4847542724223984,23994,817.7186796699175,738.0,0.8381254244231807,83.92379356568365,53.0,708.8652085452696,972.0,313.80695992819534,409.7707792816964,0.07245561390347587,0.3502125531382846
solar:10.7b,917.4392751896671,2479.5797306670265,73.0,0.481660292181328,0.6395799474934367,4462.954326296586,5255.658886607515,2070.0,0.3338547206406807,0.21610461114934618,0.5499593317900269,0.6270433983778435,23997,1876.9387840146685,1403.0,2.5093236953831317,265.0372411938693,64.0,691.7577534532187,962.0,306.47591867518827,406.6489623123667,0.2978164299568291,0.6316711505975099
wizardlm2:7b,906.7652445517143,2501.1505349225413,66.0,0.46830411017249945,0.6032547465053203,4772.638306702635,5223.233046434722,2462.0,0.265556643813255,0.13431276526281424,0.3998694090760692,0.575908282567072,23965,2921.1921552263716,2703.0,2.360768819998673,248.9569024594533,57.0,722.3446773189459,975.0,319.6935425411223,412.26905222250366,0.3049951028403526,0.5705517466536075
yi:34b,777.9154885524835,2480.225934177842,59.0,0.48742649818591266,0.643691101659578,4815.106756494138,5302.021512396034,2505.0,0.28716216216216217,0.08014264264264265,0.3673048048048048,0.5412678401136987,23982,17914.895463264114,19728.0,1.120816493904727,114.73127221514318,53.0,720.9190904968582,974.0,319.3645938389052,411.64442349454623,0.18368368368368368,0.4708458458458458
