model,difficulty,t1_absolute_error,t2_cpl,t2_legal,t3_score,job_id,t1_relative_error,t1_abs_error_excl_mate,t2_cpl_clamped,t2_wp_loss,t3_score_v2
mistral:7b,medium,676.52025,4690.247706422018,0.6176666666666667,0.3715,6000,0.7216903593266929,71.59424920127796,721.9314624932542,319.62205808084013,0.6325
mixtral:8x7b,easy,1687.7804079576933,5596.074371025712,0.6028333333333333,0.4011016524787181,6000,0.8469404160771739,83.82542067307692,699.1133536079624,303.96342614003913,0.44917376064096143
mixtral:8x7b,extreme,245.90446339017052,4095.5604793756966,0.598,0.4892230576441103,6000,0.7709059322343024,77.3875,685.1942586399108,307.64959786550753,0.6045112781954888
mixtral:8x7b,hard,375.7748411689962,4515.5713484721055,0.6030431107354184,0.5040691759918616,5915,0.739348465085325,73.93263433813893,696.7636669470143,311.55749760896293,0.6063072227873856
mixtral:8x7b,medium,681.5377453447409,4969.634126106194,0.6029681507420377,0.4907314629258517,5997,0.7687173902259137,76.58456177968372,708.8149889380531,312.56026676402735,0.5841683366733467
phi4:14b,easy,1767.341134571356,5589.365324267783,0.6373333333333333,0.45125,6000,1.7088222440335872,188.57086494688923,708.8585251046026,307.88319803750875,0.5455
phi4:14b,extreme,351.35505959928986,4196.158995815899,0.6373333333333333,0.36575,6000,1.8129279189550107,184.23225806451612,697.6984832635983,312.8953808124379,0.6065
phi4:14b,hard,479.8530456852792,4593.648598625066,0.6303333333333333,0.37,6000,1.8125298927624245,185.4689871761319,711.4706504494976,316.4129487892095,0.6
phi4:14b,medium,797.7747448979592,5221.428834517233,0.6335,0.44075,6000,1.8285597550562354,190.8949945593036,741.0762957116548,326.0058638106462,0.621
qwen2.5:14b,easy,1709.893,5439.829402910185,0.6643333333333333,0.4135,6000,1.1639591042893125,122.50446960667462,691.9631209232313,300.8991702287031,0.46725
qwen2.5:14b,extreme,281.00925,4073.684447783621,0.6655,0.383,6000,1.127261843085304,113.84867751780264,697.3388429752066,312.54317204360785,0.5135
qwen2.5:14b,hard,406.282032032032,4581.128385155466,0.665331998665332,0.4191691691691692,5994,1.0904425821732022,110.40531475748195,705.7066198595787,315.17393186559144,0.5282782782782782
qwen2.5:14b,medium,715.67975,5137.090681362725,0.6653333333333333,0.46175,6000,1.1178401336098902,114.20047923322684,728.9256012024048,320.84658708672924,0.56525
qwen2.5:32b,easy,1713.59975,5699.082123184777,0.6656666666666666,0.41325,6000,1.2134693531408107,128.33104886769965,711.4481722583876,308.66271616985694,0.47725
qwen2.5:32b,extreme,301.57975,4507.57125,0.6666666666666666,0.34475,6000,1.3306031662959439,134.72507629704984,712.5285,318.72330688178687,0.488
qwen2.5:32b,hard,428.3805,4872.94375,0.6666666666666666,0.3585,6000,1.2997154250705762,132.1644329896907,736.1375,326.8163528631082,0.49475
qwen2.5:32b,medium,729.26825,5330.629722291719,0.6661666666666667,0.427,6000,1.2504683266887529,128.48855165069222,738.014761070803,324.5377402422183,0.55
qwen2.5:7b,easy,1688.39425,5456.318597560976,0.656,0.337,6000,0.9435594370913729,95.60399284862932,706.1735264227642,306.9021233938261,0.3595
qwen2.5:7b,extreme,250.49174174174175,4024.4128113879005,0.656322989656323,0.272022022022022,5994,0.8206408624032241,82.54047861507128,700.7308083375699,314.50108437836747,0.32407407407407407
qwen2.5:7b,hard,372.9725,4514.7129417747265,0.6555,0.29825,6000,0.765118446764444,76.65154639175258,728.5509788965167,324.19211415406573,0.351
qwen2.5:7b,medium,687.6285,4772.348280254777,0.6541666666666667,0.31775,6000,0.8231654668716617,82.4464856230032,699.9915923566879,309.62911010448875,0.36625
solar:10.7b,easy,1828.569709127382,5386.059736842105,0.633438906484414,0.4951188986232791,5999,2.378360704641871,269.71407230355544,690.94,300.1972020745859,0.5381727158948686
solar:10.7b,extreme,437.2389669007021,3843.5945388974756,0.647,0.5481852315394243,6000,2.6719951324203026,272.0788265306122,673.9234930448223,302.3937805881258,0.6485607008760951
solar:10.7b,hard,549.5664913598798,4016.4385736595523,0.6403333333333333,0.5768942235558889,6000,2.5289932764557395,259.99561063774854,694.0910983862572,309.8409233487416,0.6726681670417605
solar:10.7b,medium,854.7173366834171,4623.013859832636,0.6375458486162054,0.5796194291437156,5998,2.457817685068807,258.6854925053533,708.3308054393306,313.47843833535376,0.6672508763144717
wizardlm2:7b,easy,1818.197963800905,5629.205084745763,0.5909849749582637,0.38481539261570463,5990,2.174604498672388,245.04554655870444,723.8310734463277,314.7930455333722,0.4971398855954238
wizardlm2:7b,extreme,427.51857102353273,4097.66730558598,0.6098864395457582,0.3824921135646688,5988,2.5019607122959835,254.68389145496536,713.0824205914568,319.87660012121654,0.5757097791798107
wizardlm2:7b,hard,559.2220953468455,4333.41349862259,0.6057066577673953,0.4133159268929504,5993,2.4935559204625415,256.3559222156747,712.709090909091,317.6308214222634,0.6203655352480417
wizardlm2:7b,medium,817.2794660607782,5055.206052269601,0.6064397731064398,0.41877444589309,5994,2.2741854695732826,238.88221081244336,739.8250343878955,326.3419361549846,0.5893089960886571
yi:34b,easy,1709.86475,5810.495542737283,0.6356666666666667,0.4185,6000,1.1802836695853631,124.65345649582837,731.8426848453067,317.42091311940266,0.4755
yi:34b,extreme,274.23148148148147,4106.514724711908,0.6512675116744496,0.32866082603254065,5996,1.0566657723354962,106.8261201629328,697.9157490396927,313.9126571936328,0.4555694618272841
yi:34b,hard,404.3666666666667,4335.063753213368,0.6498496491814233,0.35046377538230133,5986,1.0824319103970905,109.78274347713769,714.2580976863753,319.4838107755017,0.4748057157182251
yi:34b,medium,721.7615,5034.021682340648,0.638,0.3715,6000,1.1637245111206198,119.23296059637913,740.2703761755486,326.7416202183751,0.4775
